Year,Make,Model,Price,Color
2007,Volkswagen ,Volkswagen Passat,116690,Blue
2007,Toyota ,Toyota Rav4,75429,Brown
2007,Toyota ,Toyota Avensis,72482,White
2007,Volkswagen ,Volkswagen Golf,66311,Blue
2007,Toyota ,Toyota Corolla,63640,Pink
2007,Peugeot ,Peugeot 307,44299,Orange
2007,Skoda ,Skoda Octavia,44299,Purple
2007,Toyota ,Toyota Yaris,37023,White
2007,Ford ,Ford Focus,36839,Orange
2007,Volvo ,Volvo V50,31866,Black
2007,Peugeot ,Peugeot 207,29471,Black
2007,Audi ,Audi A4,24774,Purple
2007,Volkswagen ,Volkswagen Touran,21643,Black
2007,Ford ,Ford S-Max,21274,Orange
2007,Opel ,Opel Astra,20077,Purple
2007,Volkswagen ,Volkswagen Polo,20077,Pink
2007,Audi ,Audi A3,18604,Purple
2007,BMW ,BMW 3-serie,16854,Red
2007,Opel ,Opel Vectra,16393,Pink
2007,Honda ,Honda CR-V,15841,Purple
2007,Volkswagen ,Volkswagen Passat,55443,Black
2007,Toyota ,Toyota Avensis,49733,Yellow
2007,Toyota ,Toyota Corolla,46510,Yellow
2007,Volkswagen ,Volkswagen Golf,40707,Orange
2007,Toyota ,Toyota Yaris,32511,Red
2007,Toyota ,Toyota Rav4,31866,Orange
2007,Skoda ,Skoda Octavia,30761,Green
2007,Peugeot ,Peugeot 307,28366,Brown
2007,Ford ,Ford Focus,27261,Yellow
2007,Volvo ,Volvo V70,20998,Red
2007,Honda ,Honda CR-V,20722,Black
2007,Opel ,Opel Astra,20353,Brown
2007,Audi ,Audi A4,17590,Gray
2007,Volkswagen ,Volkswagen Touran,17406,Brown
2007,Peugeot ,Peugeot 207,17038,Black
2007,Volvo ,Volvo V50,16485,Yellow
2007,Audi ,Audi A3,15196,Black
2007,Volkswagen ,Volkswagen Polo,14920,White
2007,Ford ,Ford S-Max,13907,Green
2007,BMW ,BMW 3-serie,13722,Blue
2007,Volkswagen ,Volkswagen Passat,47983,White
2007,Toyota ,Toyota Avensis,47983,Yellow
2007,Volkswagen ,Volkswagen Golf,37023,Green
2007,Peugeot ,Peugeot 307,34168,Gray
2007,Toyota ,Toyota Corolla,28827,Blue
2007,Toyota ,Toyota Rav4,28735,Yellow
2007,Ford ,Ford Focus,28642,Blue
2007,Skoda ,Skoda Octavia,27169,Brown
2007,Toyota ,Toyota Yaris,24590,Brown
2007,Honda ,Honda CR-V,24498,Purple
2007,Audi ,Audi A4,22011,Yellow
2007,Volvo ,Volvo V70,21735,Green
2007,Peugeot ,Peugeot 207,21090,Brown
2007,Ford ,Ford S-Max,20169,Orange
2007,Saab ,Saab 9-3,19709,Pink
2007,Opel ,Opel Astra,19432,Blue
2007,Volvo ,Volvo V50,18143,Gray
2007,Volkswagen ,Volkswagen Polo,18143,White
2007,Volkswagen ,Volkswagen Touran,17867,Purple
2007,Audi ,Audi A3,16946,Red
2007,Volkswagen ,Volkswagen Passat,34537,Brown
2007,Volkswagen ,Volkswagen Golf,31498,Red
2007,Peugeot ,Peugeot 307,24866,Green
2007,Skoda ,Skoda Octavia,23301,Purple
2007,Volvo ,Volvo V70,22840,Orange
2007,Toyota ,Toyota Avensis,22564,Blue
